world-universities copy,Name,web_pages,url_status_codes,all_urls_valid
CO,Universidad Pontificia Bolivariana,https://www.upb.edu.co/,[200],TRUE
CO,Universidad Popular del Cesar,https://www.unicesar.edu.co/,[200],TRUE
CO,Universidad Santiago de Cali,https://www.usaca.edu.co/,['ERROR: ConnectionError'],FALSE
CO,Universidad Santo Tomás,https://www.usta.edu.co/,[200],TRUE
CO,Universidad Sergio Arboleda,https://www.usergioarboleda.edu.co/,['ERROR: SSLError'],FALSE
CO,Universidad Surcolombiana,https://www.usurcolombia.com/,[200],TRUE
CO,Universidad Tecnológica de Pereira,https://www.utp.edu.co/,[200],TRUE
CO,"Universidad Tecnológica del Choco ""Diego Luis Cordoba""",https://www.utch.edu.co/,[200],TRUE
CO,Universidad Aut√≥noma de Manizales,https://www.autonoma.edu.co/,[200],TRUE
CO,Colegio de Estudios Superiores de Administraci√≥n (CESA),https://www.cesa.edu.co/,[200],TRUE
CO,Universidad Aut√≥noma de Occidente,https://www.cuao.edu.co/,['ERROR: ConnectionError'],FALSE
CO,Corporaci√≥n Universitaria de la Costa (UNICOSTA),https://www.cuc.edu.co/,[200],TRUE
CO,Corporaci√≥n Universitaria de Ibagu√© (CORUNIVERSITARIA),https://www.cui.edu.co/,['ERROR: ConnectionError'],FALSE
CO,Corporaci√≥n Universitaria Tecnol√≥gica de Bolivar,https://www.cutb.edu.co/,['ERROR: ConnectionError'],FALSE
CO,Escuela de Administraci√≥n de Negocios,https://www.ean.edu.co/,['ERROR: SSLError'],FALSE
CO,Fundacion Escuela Colombiana de Rehabiliaci√≥n,https://www.ecr.edu.co/,[200],TRUE
